,key,handstrat,participant,melody,sex,age,score,genre,proc,qommax,qommin,qomav,handdistmax,handdistmin,handdistav,zmax,zmin,distlh,distrh,melcat
80,80,2,18,27,M,30,992,sc,syn,2238.10821704,11.8321595662,1926.98291236,922.426671675,233.88201698,537.908756043,1479.73920796,810.184042763,2153.78386455,4071.30551882,11
81,81,1,20,1,F,20,499,im,norm,1961.57862719,11.8321595662,1757.94941286,977.042111431,556.309662053,779.869324944,1578.28350233,773.245157476,506.989442964,3494.85503522,1
82,82,2,9,20,F,31,913,im,syn,2155.58724149,11.8321595662,1756.08218501,547.726219288,178.437270228,357.562706391,1516.00061802,753.170428761,1805.01970785,3119.58110896,4
83,83,1,6,22,M,37,973,jo,syn,2142.71423468,11.8321595662,1766.14243401,1103.08983793,536.387712759,820.28960638,1831.17490377,884.634262326,645.155451911,5496.43641177,6
84,84,2,18,4,M,30,992,im,norm,2155.79906072,11.8321595662,1988.55464866,971.364073532,208.190193685,716.458738346,1522.82419253,837.273136154,1961.64478186,2751.17435291,4
85,85,3,10,23,F,24,438,jo,syn,1817.23199639,11.8321595662,1512.26419263,1289.38552028,434.645269534,686.17118965,1176.31706991,-151.13448809,21814.8768196,2021.19914118,7
86,86,4,8,30,F,20,262,vo,syn,2455.71053507,11.8321595662,2100.8094592,627.024682977,205.965178674,385.544706109,1680.0908408,828.782154159,4405.11034968,5172.70906595,14
87,87,3,8,22,F,20,262,jo,syn,2497.91323236,11.8321595662,1812.05151512,631.787315987,253.477443591,452.217066279,1773.0958582,814.938933302,2665.29261631,2904.54437686,6
88,88,4,9,4,F,31,913,im,norm,2186.64516143,11.8321595662,1674.73009757,829.134837019,361.11776847,491.904878395,1501.76263751,687.047116185,3375.41399699,3455.94237967,4
89,89,2,8,12,F,20,262,sc,norm,2250.92584779,11.8321595662,1739.37718995,720.305331073,367.837275663,541.19926695,1791.85290539,788.170384722,2907.72550682,3900.12525416,12
90,90,1,20,20,F,20,499,im,syn,1810.85327005,11.8321595662,1717.21014969,953.393006913,603.264313534,826.387391603,1425.49371914,746.75991294,441.070852425,2747.95878557,4
91,91,1,18,15,M,30,992,vo,norm,2342.06029937,11.8321595662,1925.81437783,1199.05036028,143.328548174,888.537508403,1821.3516564,809.509880752,1965.46568558,4284.20458476,15
92,92,1,6,15,M,37,973,vo,norm,2355.99787158,11.8321595662,1985.11517245,1300.53517739,520.099519474,1003.21361975,2122.13835279,852.025380687,536.706602542,3981.14424869,15
93,93,2,20,14,F,20,499,vo,norm,1970.03837266,11.8321595662,1894.37876317,642.992165411,154.457809171,329.652924383,1415.01281324,966.955353967,1442.91453769,1916.63592159,14
94,94,4,9,18,F,31,913,im,syn,2093.75045217,11.8321595662,1961.2592213,390.649173918,164.676776124,265.866440702,1446.35949683,922.551336248,3964.39420329,4574.63801128,2
95,95,2,1,12,M,23,465,sc,norm,2093.44472288,11.8321595662,1992.6529121,576.724425296,128.881770647,216.10305342,1296.00813982,912.842958237,1569.66209081,1924.64067952,12
96,96,6,1,26,M,23,465,sc,syn,2114.1814717,11.8321595662,1844.79947986,463.506237472,125.95424135,259.643873265,1368.01197354,846.780497105,2006.88734985,2184.99422494,10
97,97,2,20,3,F,20,499,im,norm,1867.66499681,11.8321595662,1765.17708058,606.795822969,215.432046341,351.325352818,1326.33338764,935.570268245,1231.89102038,1135.26643768,3
98,98,3,2,11,F,53,989,sc,norm,3019.11235843,11.8321595662,2631.00188677,758.927349672,284.495192698,394.363576103,2110.26015331,1031.61914624,2952.35001489,3165.69193289,11
99,99,6,9,31,F,31,913,vo,syn,2306.66014868,11.8321595662,2072.82657787,470.192093861,104.255802459,281.859929109,1617.24388919,735.687201999,4101.22679286,4823.41973669,15
100,100,6,28,7,F,41,662,jo,norm,2102.13582948,11.8321595662,1576.11228215,839.51015035,653.444899466,722.331738132,1550.8409951,749.519362156,3057.8631778,2148.69625384,7
101,101,3,3,7,F,29,972,jo,norm,1814.91202721,11.8321595662,1645.79928585,315.836677143,124.500246893,183.972313267,1275.90009589,1055.75833479,847.627897155,918.725178825,7
102,102,2,18,8,M,30,992,jo,norm,2250.52430153,11.8321595662,1921.25100427,1079.37143774,266.489836775,718.787718254,1623.415,810.159618294,2457.55334218,3628.81707213,8
103,103,3,2,8,F,53,989,jo,norm,2133.85503986,11.8321595662,1763.64166234,1125.21615662,615.462572694,995.037285738,1374.03748911,836.659368782,2436.37679278,2591.49411287,8
104,104,6,10,21,F,24,438,jo,syn,1734.45408794,11.8321595662,1595.43173944,586.54282979,339.260430616,441.218308275,1130.64588057,775.487936589,1224.32388696,1181.60297703,5
105,105,4,3,15,F,29,972,vo,norm,2237.95764015,11.8321595662,1885.59089935,556.84943855,129.297472139,220.598995221,1501.7326857,986.524932311,2070.3215785,2221.43292179,15
106,106,4,3,32,F,29,972,vo,syn,2317.67045376,11.8321595662,2078.45054028,647.253003777,111.034542712,248.915298724,1600.54240913,724.704560703,3774.635759,2267.32518073,16
107,107,3,2,26,F,53,989,sc,syn,2848.29221286,11.8321595662,2519.41203061,1311.84459808,466.960399414,874.724433761,1990.59394831,811.971536111,3388.35684909,4082.34270808,10
108,108,1,2,6,F,53,989,jo,norm,2137.80760252,11.8321595662,1983.30629806,637.77750511,233.645987225,512.21952961,1555.88150731,833.952942234,1975.55952487,2554.0651619,6
109,109,2,28,18,F,41,662,im,syn,2177.60626621,11.8321595662,1760.94029217,1685.85742977,139.455474492,721.33661061,1632.64445239,-151.294950851,9130.18833009,3758.05701506,2
110,110,6,9,24,F,31,913,jo,syn,2373.64143078,11.8321595662,1741.09437214,628.92909167,220.727748795,328.35808487,1702.92407052,682.403631178,4061.553339,5279.31375454,8
111,111,6,28,8,F,41,662,jo,norm,2046.1610179,11.8321595662,1744.76399169,972.34804853,418.586936203,738.738065415,1607.8864232,769.405448161,3604.76254264,5046.64167546,8
112,112,6,1,6,M,23,465,jo,norm,2145.0620054,11.8321595662,2012.95764689,573.770796051,119.510284264,210.343849503,1436.93359867,925.475741205,1989.80101046,2232.74430005,6
113,113,4,9,16,F,31,913,vo,norm,3012.55302049,11.8321595662,2182.05980414,2273.98945045,222.20723784,562.343856777,2202.19303083,-240.715245613,16821.8476495,4360.66382165,16
114,114,4,1,22,M,23,465,jo,syn,2155.31730877,11.8321595662,1937.44832055,604.538673158,140.939939446,255.435906589,1435.44774497,796.181552258,2843.42233286,3426.85987981,6
115,115,3,8,15,F,20,262,vo,norm,2323.38165025,11.8321595662,1950.33622603,731.917211181,259.170549813,441.244108567,1631.43343675,773.4301085,3668.21349908,4239.45040841,15
