Time_s   F0_Hz
1.523946   418.050252
1.533946   414.742838
1.543946   412.935170
1.553946   412.778896
1.563946   414.321293
1.573946   417.461075
1.583946   421.923836
1.593946   427.260657
1.603946   432.865326
1.613946   438.002450
1.623946   441.915936
1.633946   444.008118
1.643946   443.984799
1.653946   441.898285
1.663946   438.121613
1.673946   433.302926
1.683946   428.273484
1.693946   423.869026
1.703946   420.742243
1.713946   419.244857
1.723946   419.450410
1.733946   421.230156
1.743946   424.329109
1.753946   428.407345
1.763946   433.040185
1.773946   437.685618
1.783946   441.686459
1.793946   444.370822
1.803946   445.215500
1.813946   444.002039
1.823946   440.901259
1.833946   436.490025
1.843946   431.620371
1.853946   427.183164
1.863946   423.856391
1.873946   421.985133
1.883946   421.619446
1.893946   422.660638
1.903946   424.974188
1.913946   428.402250
1.923946   432.657876
1.933946   437.237334
1.943946   441.467412
1.953946   444.693648
1.963946   446.466045
1.973946   446.588659
1.983946   445.063024
1.993946   442.047109
2.003946   437.884246
2.013946   433.145962
2.023946   428.571321
2.033946   424.896937
2.043946   422.683760
2.053946   422.229075
2.063946   423.573335
2.073946   426.525110
2.083946   430.671601
2.093946   435.403348
2.103946   439.981656
2.113946   443.670362
2.123946   445.879403
2.133946   446.252719
2.143946   444.694292
2.153946   441.372070
2.163946   436.734764
2.173946   431.491778
2.183946   426.503646
2.193946   422.579453
2.203946   420.303485
2.213946   419.953978
2.223946   421.519820
2.233946   424.735629
2.243946   429.137041
2.253946   434.116613
2.263946   438.991887
2.273946   443.095976
2.283946   445.885187
2.293946   447.004224
2.303946   446.306771
2.313946   443.854374
2.323946   439.960160
2.333946   435.226044
2.343946   430.456225
2.353946   426.427750
2.363946   423.647367
2.373946   422.268705
2.383946   422.163768
2.393946   423.048621
2.403946   424.531817
2.413946   426.071114
2.423946   426.922273
2.433946   426.203670
2.443946   423.107934
2.453946   417.151407
2.463946   408.390301
2.473946   397.487438
2.483946   384.928418
2.493946   372.087379
2.503946   361.517588
2.513946   354.123176
2.523946   349.545983
2.533946   347.527673
2.543946   347.769869
2.553946   349.157552
2.563946   350.472745
2.573946   351.060101
2.583946   350.815977
2.593946   349.979785
2.603946   348.879724
2.613946   347.849141
2.623946   347.268057
2.633946   347.476745
2.643946   348.561314
2.653946   350.234651
2.663946   351.967856
2.673946   353.193238
2.683946   353.462559
2.693946   352.607683
2.703946   350.784044
2.713946   348.364077
2.723946   345.824741
2.733946   343.690491
2.743946   342.413729
2.753946   342.180909
2.763946   342.964475
2.773946   344.693457
2.783946   347.190609
2.793946   350.059999
2.803946   352.715861
2.813946   354.465188
2.823946   354.709756
2.833946   353.455589
2.843946   351.347946
2.853946   349.244516
2.863946   348.000028
2.873946   348.371812
2.883946   350.745785
2.893946   355.045285
2.903946   361.253916
2.913946   369.375310
2.923946   377.641928
2.933946   384.349328
2.943946   388.697999
2.953946   390.386151
2.963946   389.688631
2.973946   387.410500
2.983946   384.718194
2.993946   382.831613
3.003946   382.720255
3.013946   384.980857
3.023946   389.790039
3.033946   396.748233
3.043946   404.930313
3.053946   413.349720
3.063946   420.655355
3.073946   425.614564
3.083946   427.886971
3.093946   427.826416
3.103946   426.321188
3.113946   424.571473
3.123946   423.799220
3.133946   424.977315
3.143946   428.647209
3.153946   434.824339
3.163946   442.960438
3.173946   452.014954
3.183946   460.680047
3.193946   467.685740
3.203946   472.120391
3.213946   473.713265
3.223946   472.957324
3.233946   470.985238
3.243946   469.214414
3.253946   468.854481
3.263946   470.527592
3.273946   474.109073
3.283946   478.878598
3.293946   483.878815
3.303946   488.336108
3.313946   491.916490
3.323946   494.703870
3.333946   496.914849
3.343946   498.582155
3.353946   499.482830
3.363946   499.409246
3.373946   498.506812
3.383946   497.355003
3.393946   496.732869
3.403946   497.275400
3.413946   499.249061
3.423946   335.017583
3.433946   337.826683
3.443946   340.976959
3.453946   344.206655
3.463946   347.223639
3.473946   349.642371
3.483946   351.031227
3.493946   351.062443
3.503946   349.617414
3.513946   346.787413
3.523946   342.836319
3.533946   338.203814
3.543946   333.506285
3.553946   329.453427
3.563946   326.672102
3.573946   325.549049
3.583946   326.182292
3.593946   328.408792
3.603946   331.867935
3.613946   336.064601
3.623946   340.445412
3.633946   344.501687
3.643946   347.862355
3.653946   350.311846
3.663946   351.723232
3.673946   351.979313
3.683946   350.977200
3.693946   348.726663
3.703946   345.451619
3.713946   341.615615
3.723946   337.841151
3.733946   334.773123
3.743946   332.941199
3.753946   332.657030
3.763946   333.969250
3.773946   336.671755
3.783946   340.349902
3.793946   344.452553
3.803946   348.360437
3.813946   351.474058
3.823946   353.319621
3.833946   353.637198
3.843946   352.409569
3.853946   349.831968
3.863946   346.256651
3.873946   342.137443
3.883946   337.990389
3.893946   334.342709
3.903946   331.663981
3.913946   330.293151
3.923946   330.395338
3.933946   331.950082
3.943946   334.767569
3.953946   338.507199
3.963946   342.690765
3.973946   346.733228
3.983946   350.012413
3.993946   351.983120
4.003946   352.290136
4.013946   350.828464
4.023946   347.758045
4.033946   343.487437
4.043946   338.624614
