,key,handstrat,participant,melody,sex,age,score,genre,proc,qommax,qommin,qomav,handdistmax,handdistmin,handdistav,zmax,zmin,distlh,distrh
141,141,2,7,27,M,25,839,sc,syn,2338.34070135,1526.75503495,1994.1517971,1060.16333861,601.009887277,853.396387507,1561.97320426,1014.12255402,1071.03217278,962.484483142
142,142,2,21,5,F,49,965,jo,norm,1989.22041581,1200.35736832,1523.31389935,869.348151038,388.848656348,596.62444695,1402.69750048,448.309150399,3933.79767813,2775.44437636
143,143,1,4,32,M,26,958,vo,syn,2140.95557845,1325.68985313,1782.69859466,1299.51214255,618.872450704,1024.65054877,1940.11282999,756.549449679,584.308738373,3090.99644458
144,144,6,1,26,M,23,465,sc,syn,2107.64136738,1380.70556543,1876.60134803,461.927772695,120.688832547,256.330222644,1367.86925097,862.583675521,1256.81500102,1435.28849615
145,145,2,20,3,F,20,499,im,norm,1816.0089106,1446.41065765,1702.27976896,588.112203525,217.182938715,371.625284902,1324.56772047,962.968261074,751.880151787,898.392479734
146,146,3,2,11,F,53,989,sc,norm,2987.60721147,1633.41886235,2501.30345838,712.755655445,284.741193927,425.392384031,2109.40624273,1059.56476397,2539.20188204,2511.08953521
147,147,2,25,27,M,64,879,sc,syn,2305.51796254,1659.9455516,2113.14366181,744.619715179,285.969492995,520.958880848,1719.06899178,968.436615945,1829.66847125,2015.31211991
148,148,1,4,20,M,26,958,im,syn,1770.23689989,1269.9181921,1518.45695599,893.53074958,543.116895033,715.924845268,1461.46191877,823.246419977,366.441563322,2049.03238413
149,149,2,21,22,F,49,965,jo,syn,2296.32510794,1242.0762655,1926.83700296,931.967159616,229.756571447,503.360222008,1669.81283587,779.078901402,3524.98568828,3950.59561883
150,150,6,9,31,F,31,913,vo,syn,2245.53201418,1199.1757193,2000.81507193,440.587525793,78.696049702,281.276948514,1616.48451197,781.879318641,3039.42143419,4003.16497024
151,151,6,28,7,F,41,662,jo,norm,2092.7353785,1277.76277,1603.77069525,814.184944372,647.213700337,733.429255635,1549.68518034,749.922449167,2338.09219367,2071.18114241
152,152,3,3,7,F,29,972,jo,norm,1784.3967133,1551.73495201,1693.06377592,324.714879472,143.491024738,231.472355915,1275.74217451,1062.51516617,576.732005046,665.373202796
153,153,2,18,8,M,30,992,jo,norm,2221.90196664,1380.53622988,1952.95056968,1075.67912691,278.466555582,753.483617799,1623.13377852,847.740984591,1458.23335671,2151.26658344
154,154,4,22,11,F,28,524,sc,norm,1789.23511167,714.634070884,1340.1792177,563.156626872,146.56786334,369.193979579,1253.75632011,275.235383062,1977.38055546,1955.0226396
155,155,2,5,30,M,30,563,vo,syn,2399.64593154,1201.10668524,2083.16107846,681.883571204,174.643299869,350.084513918,1764.81974077,770.40831999,3200.9292263,2995.15012946
