	key	handstrat	participant	melody	sex	age	score	genre	proc	qommax	qommin	qomav	handdistmax	handdistmin	handdistav	zmax	zmin	distlh	distrh
35	35	6	10	7	F	24	438	jo	norm	1887.6728276014	11.8321595662	1737.8750234682	567.5856549865	415.2378590782	469.1570929462	1231.91032928	785.566664329	2497.0435453519	3413.889107265
36	36	4	3	4	F	29	972	im	norm	2251.2249947968	11.8321595662	1911.3014877156	623.8415386673	103.2439432394	264.9568350332	1545.14800535	743.626246408	5251.7774344276	5195.4331029716
37	37	6	9	12	F	31	913	sc	norm	2251.6617049055	11.8321595662	1698.7761635288	656.4538334889	223.7739450891	354.9328213403	1658.85708933	698.05175151	4178.341537115	3635.2235069016
38	38	2	20	28	F	20	499	sc	syn	2083.5847688784	11.8321595662	1937.9618902639	710.5663996611	190.298579838	289.0978731648	1465.80593974	786.449014316	2569.4217170859	2225.1731873525
39	39	2	3	22	F	29	972	jo	syn	1976.0153438291	11.8321595662	1756.8219117644	600.0577248545	84.7455340245	216.5585187048	1418.53359622	989.21267503	1731.1087349596	2225.9045518735
40	40	6	28	23	F	41	662	jo	syn	2221.4198678957	11.8321595662	1750.8304676441	806.5201951001	272.2011369577	482.9294998258	1645.01787972	750.680181513	5313.5309902991	6493.3052867283
41	41	3	2	27	F	53	989	sc	syn	2543.6802553799	11.8321595662	2399.1894148672	834.8814418037	521.8606223242	717.6606797143	1748.62312802	1044.54340051	2833.5907489605	2933.1987347368
42	42	2	20	18	F	20	499	im	syn	2197.6807759861	11.8321595662	2081.1548340393	736.3619432516	188.8966369955	322.3224516492	1534.05675517	789.42786716	1722.8629579699	3049.7481584589
43	43	2	18	25	M	30	992	sc	syn	2002.7113461698	11.8321595662	1793.2739838455	1033.9602746917	193.4191047875	676.8386409561	1338.84923516	914.169486493	2984.4668278842	4845.920998733
44	44	1	18	26	M	30	992	sc	syn	2600.0033934193	11.8321595662	2032.7454360343	1542.6005511041	283.1922074246	896.8263751753	2200.03848886	-189.789556366	2042.5566065552	16814.6117279188
45	45	1	28	19	F	41	662	im	syn	1826.4746688385	11.8321595662	1492.1019737756	954.1994669188	156.6380035901	569.6311105058	1535.35416635	744.603126594	3897.1338484678	1218.5971369399
46	46	3	8	20	F	20	262	im	syn	2413.9454779748	11.8321595662	1803.5425496223	591.460482711	209.3288419416	374.4925421699	1641.31481737	804.670904549	3214.9583778386	3263.9782153794
